PADUR1_ | Core | 11 | 8 |  Calculated Variables 
PADUR2_ | Core | 11 | 9 |  Calculated Variables 
PAFREQ1_ | Core | 11 | 10 |  Calculated Variables 
PAFREQ2_ | Core | 11 | 11 |  Calculated Variables 
PAINACT2 | Module | 3 | 1 |  Healthy Days (Symptoms) 
PAMIN11_ | Core | 11 | 16 |  Calculated Variables 
PAMIN21_ | Core | 11 | 17 |  Calculated Variables 
PAMISS1_ | Core | 11 | 15 |  Calculated Variables 
PAVIG11_ | Core | 11 | 19 |  Calculated Variables 
PAVIG21_ | Core | 11 | 20 |  Calculated Variables 
PCDMDECN | Module | 18 | 2 |  Prostate Cancer Screening Decision Making 
PCPSAAD2 | Module | 17 | 1 |  Prostate Cancer Screening 
PCPSADE1 | Module | 18 | 1 |  Prostate Cancer Screening Decision Making 
PCPSADI1 | Module | 17 | 2 |  Prostate Cancer Screening 
PCPSARE1 | Module | 17 | 3 |  Prostate Cancer Screening 
PCPSARS1 | Module | 17 | 6 |  Prostate Cancer Screening 
PDIABTST | Module | 1 | 1 |  Pre-Diabetes 
PERSDOC2 | Core | 3 | 2 |  Health Care Access 
PHYSHLTH | Core | 2 | 1 |  Healthy Days — Health Related Quality of Life 
PNEUVAC3 | Core | 14 | 4 |  Immunization 
POORHLTH | Core | 2 | 3 |  Healthy Days — Health Related Quality of Life 
PREDIAB1 | Module | 1 | 2 |  Pre-Diabetes 
PREGNANT | Core | 7 | 15 |  Demographics 
PROFEXAM | Module | 15 | 1 |  Clinical Breast Exam for Breast Cancer Screening 
PSATEST1 | Module | 17 | 4 |  Prostate Cancer Screening 
PSATIME | Module | 17 | 5 |  Prostate Cancer Screening 
PVTRESD1 | Record Identification |  | 11 | Record Identification 
PVTRESD2 | Record Identification |  | 22 | Record Identification 
QLACTLM2 | Core | 7 | 16 |  Demographics 
QLHLTH2 | Module | 3 | 4 |  Healthy Days (Symptoms) 
QLMENTL2 | Module | 3 | 2 |  Healthy Days (Symptoms) 
QLSTRES2 | Module | 3 | 3 |  Healthy Days (Symptoms) 
QSTLANG | Questionnaire Language |  | 1 | Questionnaire Language 
QSTVER | Questionnaire Version |  | 1 | Questionnaire Version 
RCSGENDR | Module | 21 | 3 |  Sexual Orientation and Gender Identity 
RCSRLTN2 | Module | 21 | 4 |  Sexual Orientation and Gender Identity 
RDUCHART | Module | 9 | 6 |  Cardiovascular Health 
RDUCSTRK | Module | 9 | 7 |  Cardiovascular Health 
RENTHOM1 | Core | 7 | 4 |  Demographics 
RLIVPAIN | Module | 9 | 5 |  Cardiovascular Health 
SCNTLPAD | Module | 20 | 5 |  Social Context 
SCNTLWK1 | Module | 20 | 6 |  Social Context 
SCNTMEL1 | Module | 20 | 2 |  Social Context 
SCNTMNY1 | Module | 20 | 1 |  Social Context 
SCNTPAID | Module | 20 | 3 |  Social Context 
SCNTWRK1 | Module | 20 | 4 |  Social Context 
SEATBELT | Core | 13 | 1 |  Seatbelt Use 
SEQNO | Record Identification |  | 8 | Record Identification 
SEX | Core | 7 | 1 |  Demographics 
SHINGLE2 | Module | 13 | 1 |  Shingles (Zostavax or ZOS) 
SMOKDAY2 | Core | 8 | 2 |  Tobacco Use 
SMOKE100 | Core | 8 | 1 |  Tobacco Use 
STATERES | Record Identification |  | 13 | Record Identification 
STOPSMK2 | Core | 8 | 3 |  Tobacco Use 
STREHAB1 | Module | 9 | 2 |  Cardiovascular Health 
STRENGTH | Core | 11 | 8 |  Exercise (Physical Activity) 
STRFREQ_ | Core | 11 | 14 |  Calculated Variables 
SXORIENT | Module | 21 | 1 |  Sexual Orientation and Gender Identity 
TETANUS | Module | 11 | 1 |  Tetanus Diphtheria (TDAP) (Adults) 
TOLDHI2 | Core | 5 | 3 |  Cholesterol Awareness 
TRNSGNDR | Module | 21 | 2 |  Sexual Orientation and Gender Identity 
USEEQUIP | Core | 7 | 17 |  Demographics 
USENOW3 | Core | 8 | 5 |  Tobacco Use 
VEGEDA1_ | Core | 10 | 6 |  Calculated Variables 
VEGETAB1 | Core | 10 | 6 |  Fruits & Vegetables 
VETERAN3 | Core | 7 | 8 |  Demographics 
